"","ID","year","location","pm25v0_expo_day","pm10v0_expo_day","no2pred_expo_day","o3_8hpred_expo_day"
"10102",500,2006,"DK011",50.0139705638237,20.3009172792853,11.3189522873248,15.280922535105
"10103",500,2007,"DK011",28.1109242476632,7.05446999170273,4.59705655033411,6.59888239356089
"10104",500,2008,"DK011",17.9231500968374,1.22850506158681,4.77048090203587,5.04735197630467
"10105",500,2009,"DK011",39.6973997893655,0.497108021074188,5.05239743325068,6.96970406437975
"10106",500,2010,"DK011",65.5631639975998,2.16784327149795,1.99256080625509,2.04722152009891
"10107",500,2011,"DK011",88.6287036420133,14.0913953289418,5.11116479854001,5.87280159003235
"10108",500,2012,"DK011",55.8790854756979,1.98209104439479,2.79941227196211,5.09159494739788
"10109",500,2013,"DK011",44.7866913974903,0.966703517124174,3.74124508275489,1.40187627726891
"10110",500,2014,"DK011",68.2713290396505,5.5811150287253,0.824141802393889,8.52042294854518
"10111",500,2015,"DK011",38.8553954258453,2.09006686112156,0.828349222724998,3.25868523726487
"10112",500,2016,"DK011",30.996993652293,0.986537545588898,3.84955901807807,5.20245575819001
"10113",500,2017,"DK011",30.415240452547,7.44575244053193,2.92584415524327,2.8633873123238
"10114",500,2018,"DK011",44.6020829886292,5.76841866155496,0.0181445003343624,34.2469696349054
"10115",500,2019,"DK011",32.5684185271873,1.52893319143683,0.686912082399425,17.0798624025084
"10116",500,2020,"DK011",6.44800245561911,0,0,10.9797585829876
"10117",501,2003,"DK012",51.3242205543281,27.6864675355975,22.3894481802073,3.68018405280698
"10118",501,2004,"DK012",26.2278086736117,2.89989257412764,5.99040049902523,1.25127478107443
"10119",501,2005,"DK012",36.4676461325295,16.3383071787868,8.24860755410387,6.20361952332762
"10120",501,2006,"DK012",44.088149605099,14.885182573801,8.17404047203906,11.1559642655808
"10121",501,2007,"DK012",25.6455722482311,4.66766615438316,3.45799183377884,3.20084295051174
"10122",501,2008,"DK012",17.4389996808592,0.474348683277694,3.8140672806969,2.92013559674357
"10123",501,2009,"DK012",36.0478971837913,0.553983333388078,4.12049641648756,3.65165939203937
"10124",501,2010,"DK012",57.1737696477719,2.16329754432931,1.62398367826034,1.00142495141298
"10125",501,2011,"DK012",80.7756249485087,12.7998982976481,4.01466680188681,3.82185172027864
"10126",501,2012,"DK012",45.6740999401952,1.55908349177032,1.70832971126973,2.74455872504975
"10127",501,2013,"DK012",37.9983570889819,0.979470223584166,3.18835238177135,0.652474403891415
"10128",501,2014,"DK012",59.6192140705531,3.4912524473329,0.640736175753588,4.47747016583402
"10129",501,2015,"DK012",32.8549001224056,1.71567470819744,0.394352448562419,2.2280378331371
"10130",501,2016,"DK012",23.617223096424,0.797384436923098,3.63511947802355,2.80278267142607
"10131",501,2017,"DK012",24.9959576379176,5.3406864900716,2.26526503764838,1.41691676381559
"10132",501,2018,"DK012",35.7070887969038,3.16047156727227,0,24.6895206452765
"10133",501,2019,"DK012",29.0679844007748,1.30980245330517,0.565360925367796,9.5231206021328
"10134",501,2020,"DK012",6.92808640827513,0,0,7.19134130248305
"10135",573,2003,"DK013",52.4126777720395,15.2474709061692,10.6677510173066,3.5600465168025
"10136",573,2004,"DK013",32.24595088885,0.625983362442832,0.557466238199989,1.26389889322155
"10137",573,2005,"DK013",45.4522845901842,8.04961270240203,1.60077658016876,5.90254729696641
"10138",573,2006,"DK013",50.1862944286961,4.73755753355767,2.75038020622978,10.5411957007113
"10139",573,2007,"DK013",30.9519044531136,2.32383013113575,1.20464264518784,3.0822539440053
"10140",573,2008,"DK013",24.2390268775084,0.0270610295032689,2.22090159838146,2.6545931453577
"10141",573,2009,"DK013",35.432708506871,0.212429675516415,1.12619621083369,4.49720535782967
"10142",573,2010,"DK013",52.0662719875854,0.456065109212752,0.103678618403679,1.31686716770574
"10143",573,2011,"DK013",69.2784211905876,7.63789818392121,0.667428035377093,4.98161423899458
"10144",573,2012,"DK013",34.4929139976626,0.49071312632168,0.190511512626848,3.24170670452704
"10145",573,2013,"DK013",34.7379343849819,0.95112113259267,1.86793510720577,1.06645497982149
"10146",573,2014,"DK013",54.4549148603506,1.10156335628211,0,5.91236337228671
"10147",573,2015,"DK013",38.1178732236655,1.39628180088967,0,2.6339099077117
"10148",573,2016,"DK013",31.0175335192506,0.203218614844122,2.99884405800283,4.03156265298254
"10149",573,2017,"DK013",32.9502225743178,2.86476429382742,0.389098045725836,1.51284050844407
"10150",573,2018,"DK013",38.7482663421143,1.62894165233265,0,28.1527164509292
"10151",573,2019,"DK013",38.4005027874215,0.24220815154505,0.245731008543961,13.4426492956692
"10152",573,2020,"DK013",24.2402465173003,0,0,9.08947566067336
"10153",574,2003,"DK014",90.1980010470031,20.2746407357652,1.88231873396659,3.04947893016184
"10154",574,2004,"DK014",80.965873953956,3.62219524268219,0.41118071150819,0.0325518174060174
"10155",574,2005,"DK014",158.797665244623,12.8049971076211,1,3.34695803501846
"10156",574,2006,"DK014",178.475301357487,9.96375930500345,2.00857632170472,6.66136425263091
"10157",574,2007,"DK014",134.382321677553,7.73856379833956,0.0026952274224897,0.598209209501986
"10158",574,2008,"DK014",90.2955615639651,3.0912390967698,0.97075490537588,1.64884084130509
"10159",574,2009,"DK014",109.681923587908,9.22811081274018,0.0123644183909404,0.992939115871857
"10160",574,2010,"DK014",123.270381608869,11.0675426125905,0.00309110459773512,0.00706088412814258
"10161",574,2011,"DK014",133.908786198136,22.801732734955,0.0257963535753119,0.971057959159057
"10162",574,2012,"DK014",114.799661895791,2.2837442049613,0.00309110459773512,1.75422410022397
"10163",574,2013,"DK014",108.976616889855,0.323916449379233,0.00708246564715906,0.98673842265869
"10164",574,2014,"DK014",135.214434524311,2.08840448230091,0.00708246564715906,3.46152210185026
"10165",574,2015,"DK014",80.8805232276597,1.05660884669669,0.0439394295113111,3.89955508770808
